"","SVSPP","SCINAME","COMNAME","CRUISE6","STATION","PDSEX","PDID","PYLEN","PYLEST","PYNAM","PDLEN"
"1",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200803,119,2,2,20000,"E","SCIAENIDAE",94
"2",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199402,72,2,4,20000,NA,"CLUPEA HARENGUS",74
"3",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,110,2,1,26000,NA,"SCOMBRIDAE",98
"4",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,35,2,6,4500,NA,"ANCHOA MITCHILLI",94
"5",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,130,2,1,16500,NA,"LEPOPHIDIUM PROFUNDORUM",999.99
"6",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199103,19,2,2,19000,NA,"EMPTY",87
"7",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200402,29,2,2,6500,"N","UROPHYCIS REGIA",73
"8",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200402,31,2,1,6600,"N","UROPHYCIS REGIA",76
"9",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199402,82,1,2,22000,NA,"CLUPEA HARENGUS",76
"10",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199103,33,2,7,7000,NA,"CLUPEA HARENGUS",86
"11",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,36,2,3,5000,NA,"ANCHOA MITCHILLI",89
"12",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200402,32,2,2,5000,"E","ENGRAULIDAE",78
"13",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,35,2,5,4400,NA,"ANCHOA MITCHILLI",94
"14",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200209,263,1,303,8000,"N","LOLIGO SP",81
"15",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198603,49,2,7,10000,NA,"LEIOSTOMUS XANTHURUS",103
"16",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,151,2,4,11000,NA,"CITHARICHTHYS ARCTIFRONS",87
"17",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,153,1,4,25000,NA,"SCOMBRIDAE",80
"18",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,157,2,3,23000,NA,"SCOMBRIDAE",40
"19",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199103,33,2,1,7000,NA,"CLUPEA HARENGUS",77
"20",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198202,330,2,13,3000,NA,"EUPHAUSIIDAE",74
"21",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,168,2,14,32000,NA,"SCOMBRIDAE",93
"22",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,41,2,2,13100,NA,"FISH",88
"23",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,15,2,4,9000,NA,"STENOTOMUS CHRYSOPS",101
"24",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,180,2,3,16000,NA,"OPHIDIIDAE",82
"25",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198202,359,1,2,2500,NA,"EUPHAUSIIDAE",62
"26",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,43,2,17,2700,NA,"CEPHALOPODA",85
"27",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,44,2,7,13000,NA,"LEIOSTOMUS XANTHURUS",999.99
"28",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200302,8,2,2,7800,"N","LOLIGO PEALEII",70
"29",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200302,10,2,5,8000,"N","LOLIGO SP",69
"30",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,47,2,2,10500,NA,"BREVOORTIA TYRANNUS",91
"31",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",202102,320,2,124149,4500,"N","MYCTOPHIDAE",71
"32",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,47,2,5,13000,NA,"FISH",999.99
"33",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,47,2,9,11000,NA,"LEIOSTOMUS XANTHURUS",88
"34",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199402,112,2,10,24000,NA,"FISH",90
"35",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199206,187,1,1,17000,NA,"CLUPEA HARENGUS",79
"36",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199206,189,1,6,26000,NA,"CLUPEA HARENGUS",85
"37",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199604,120,2,2,13300,NA,"ETRUMEUS TERES",75
"38",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,49,2,10,10800,NA,"LEIOSTOMUS XANTHURUS",88
"39",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",197702,450,2,3,16000,NA,"AMMODYTES SP",95
"40",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198705,222,2,6,6000,NA,"LOLIGO SP",97
"41",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,145,1,3,22000,NA,"ANGUILLIFORMES",74
"42",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199602,50,2,1,12000,NA,"SYMPHURUS SP",78
"43",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,150,2,2,23000,NA,"MERLUCCIUS BILINEARIS",61
"44",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199503,23,1,3,5200,NA,"ANCHOA MITCHILLI",75
"45",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199604,135,2,3,3200,NA,"LOLIGO SP",85
"46",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,56,2,10,15000,NA,"FISH",86
"47",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198206,236,2,1,9000,NA,"PEPRILUS TRIACANTHUS",999.99
"48",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198206,258,2,5,25000,NA,"CLUPEIDAE",97
"49",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,201,2,6,4200,NA,"CLUPEIDAE",89
"50",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,201,2,15,3800,NA,"CLUPEIDAE",95
"51",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198603,8,2,5,2500,NA,"OPHIDION MARGINATUM",100
"52",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199202,52,2,5,5000,NA,"ENGRAULIDAE",99
"53",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199601,19,2,1,9000,NA,"LOLIGO SP",72
"54",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199503,26,1,6,6000,NA,"ENGRAULIDAE",67
"55",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,248,2,1,4000,NA,"DECAPODA CRAB",59
"56",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199902,167,1,1,23500,"N","CLUPEA HARENGUS",81
"57",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,2,2,1,18500,NA,"ANIMAL REMAINS",95
"58",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,271,1,1,14000,NA,"AMMODYTES SP",999.99
"59",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199604,150,1,5,5000,NA,"PEPRILUS TRIACANTHUS",84
"60",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199604,150,1,6,2000,NA,"CANCER IRRORATUS",81
"61",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",202204,269,1,146118,9500,"E","ILLEX SP",63
"62",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199902,37,2,2,4800,"N","MAUROLICUS WEITZMANI",74
"63",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198303,86,2,10,13000,NA,"LEIOSTOMUS XANTHURUS",102
"64",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,3,2,1,32000,NA,"UROPHYCIS CHUSS",83
"65",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198303,102,2,5,6000,NA,"DECAPODA CRAB",103
"66",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198303,117,1,8,18000,NA,"AMMODYTES SP",999.99
"67",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198303,150,2,1,15000,NA,"AMMODYTES SP",999.99
"68",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200302,86,2,4,4200,"N","SYMPHURUS PLAGIUSA",79
"69",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200002,17,1,2,4800,"N","ILLEX SP",71
"70",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,38,1,1,9000,NA,"CYCLOPTERUS LUMPUS",80
