"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"TEREBELLIDA","",,"","214170000000000","TEREBE","NONE","","","","","RUPPERT AND FOX 1988","","NODC LACKS THIS POLYCHAET ORDER","","","",28-DEC-94,"RAR",,""
"TEREBELLIDAE","",,"","214170500000000","TERFAM","500168","","F","","","","","","","","",28-DEC-94,"RAR",,""
"TEREBELLIDES STROEMII","",,"","214170601010000","TERSTR","5001690101","","S","","SARS","","","","","","",28-DEC-94,"RAR",,""
"TETRAODONTIDAE","PUFFER UNCL",861,"PUFFERU","823280600000000","TETFAM","886101","","F","","","AFS-1991","","|SV: MINOR EDITS","Tetraodontidae sp","Puffer Uncl","861",01-JAN-99,"FPA",,""
"TETRAPTURUS ALBIDUS","WHITE MARLIN",708,"WHIMARL","","","8850060301","","S","","POEY","AFS-1991","","","Tetrapturus albidus","White Marlin","708",09-AUG-95,"BK",,""
"TETRAPTURUS ANGUSTIROSTRIS","SHORTBILL SPEARFISH",941,"SHOSPEAR","","","8850060305","","S","","TANAKA","AFS-1991","","","Tetrapturus angustirostris","Shortbill Spearfish","941",09-AUG-95,"BK",,""
"TETRAPTURUS AUDAX","STRIPED MARLIN",942,"STRMARL","","","8850060306","","S","","(PHILIPPI)","AFS-1991","","","Tetrapturus audax","Striped Marlin","942",09-AUG-95,"BK",,""
"TETRAPTURUS PFLUEGERI","LONGBILL SPEARFISH",943,"LONSPEAR","","","8850060304","","S","","ROBINS AND DE SYLVA","AFS-1991","","","Tetrapturus pfluegeri","Longbill Spearfish","943",09-AUG-95,"BK",,""
"THALIACEA","",,"","763000000000000","THALIA","8407","","C","","","","","FREQ. ID CONFUSION 'SALPS'-'SALPA SP'","","","",28-DEC-94,"RAR",,""
"THARYX ACUTUS","",,"","214150406010000","THAACU","5001500305","","S","","","","","","","","",28-DEC-94,"RAR",,""
"THARYX SP","",,"","214150406000000","THARSP","50015003","","G","","","","","","","","",28-DEC-94,"RAR",,""
"THECOSOMATA","SHELLED PTEROPOD OR SEA BUTTERFLY UNCL",,"","514060000000000","THECOS","5113","","O","","BLAINVILLE,1824","AFS-1988","","ID'ED AS PTEROPODS, ASSUMED NO NAKED","","","",28-DEC-94,"RAR",,""
"THELEPUS CINCINNATUS","",,"","214170511010000","THECIN","5001681003","","S","","","","","","","","",28-DEC-94,"RAR",,""
"THEMISTO GAUDICHAUDII","",,"","411011407030000","THEGAU","6170011006","","","","","BOWMAN ET AL 19?","","GENUS UNDER FREQUENT REVISION, NODC USES PARATHEMISTO","","","",28-DEC-94,"RAR",,""
"THRACIA SP","DUCK-BILL SHELL UNCL",405,"","","","55200802","","G","","SOWERBY,1823","AFS-1988","","|SV: COMMON NAME OF THRACIANS WOULD CONFORM TO AFS","Thracia sp","Duck-Bill Shell Uncl","405",01-JAN-99,"FPA",,""
"THUIARIA THUJA","BOTTLEBRUSH HYDROID",,"","051011204040000","THUTHU","3704050507","","S","","(LINNAEUS, 1758)","AFS-1991","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"THUNNUS ALALUNGA","ALBACORE",703,"ALBACORE","","","8850030401","","S","","(BONNATERRE)","AFS-1991","","","Thunnus alalunga","Albacore","703",09-AUG-95,"BK",,""
"THUNNUS ALBACARES","YELLOWFIN TUNA",704,"YELTUNA","","","8850030403","","S","","BONNATERRE","AFS-1991","","","Thunnus albacares","Yellowfin Tuna","704",09-AUG-95,"BK",,""
"THUNNUS ATLANTICUS","BLACKFIN TUNA",705,"BLATUNA","","","8850030404","","S","","(LESSON)","AFS-1991","","","Thunnus atlanticus","Blackfin Tuna","705",09-AUG-95,"BK",,""
"THUNNUS OBESUS","BIGEYE TUNA",706,"BIGTUNA","","","8850030405","","S","","LOWE","AFS-1991","","","Thunnus obesus","Bigeye Tuna","706",09-AUG-95,"BK",,""
"THUNNUS THYNNUS","BLUEFIN TUNA",747,"BLUEFIN","823216508050000","THUTHY","8850030402","","S","","(LINNAEUS)","AFS-1991","","","Thunnus thynnus","Bluefin Tuna","747",09-AUG-95,"BK",,""
"THYASIRA SP","",,"","512082803000000","THYASP","55150203","","G","","LAMARCK,1818","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"THYONE SP","",,"","615030205000000","THYOSP","81720605","","G","","OKEN, 1815","","","","","","",28-DEC-94,"RAR",,""
"THYONELLA SP","",,"","615030107000000","THYOS1","81720608","","G","","","","","","","","",28-DEC-94,"RAR",,""
"THYSANOESSA INERMIS","",,"","411050108020000","THYINE","6174020902","","S","","(KROYER, 1846)","","","","","","",28-DEC-94,"RAR",,""
"THYSANOESSA LONGICAUDATA","",,"","411050108030000","THYLON","6174020904","","S","","(KROYER, 1846)","","","","","","",28-DEC-94,"RAR",,""
"THYSANOESSA RASCHII","",,"","411050108040000","THYRAS","NONE","","","","","","","VALID SPECIES, NODC TO ADD TO LIST","","","",28-DEC-94,"RAR",,""
"THYSANOESSA SP","",,"","411050108000000","THYSSP","61740209","","G","","","","","","","","",28-DEC-94,"RAR",,""
"TIRON SP","",,"","411013002000000","TIROSP","61695005","","G","","LILJEBORG, 1865","","","","","","",28-DEC-94,"RAR",,""
"TIRON SPINIFERUM","",,"","411013002010000","TIROS1","6169500501","","S","","STIMPSON, 1853","","","","","","",28-DEC-94,"RAR",,""
"TIRONIDAE","",,"","411013000000000","TIRFAM","616950","","F","S","LILJEBORG","","","","","","",28-DEC-94,"RAR",,""
"TOMOPTERIDAE","",,"","214112600000000","TOMFAM","500120","","F","","","","","","","","",28-DEC-94,"RAR",,""
"TOMOPTERIS HELGOLANDICA","",,"","214112601010000","TOMHEL","5001200105","","S","","","","","","","","",28-DEC-94,"RAR",,""
"TOMOPTERIS SP","",,"","214112601000000","TOMOSP","50012001","","G","","","","","","","","",28-DEC-94,"RAR",,""
"TONICELLA RUBRA","NORTHERN RED CHITON",,"","511020604030000","TONRUB","5303020604","","S","","","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TONICELLA SP","",,"","511020604000000","TONISP","53030206","","G","","","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TORPEDO NOBILIANA","ATLANTIC TORPEDO",21,"TORPEDO","","","8713030102","","S","","BONAPARTE, 1835","AFS-1991","","","Torpedo nobiliana","Atlantic Torpedo","021",09-AUG-95,"BK",,""
"TRACHINOCEPHALUS MYOPS","SNAKEFISH",439,"SNAKEF","823180805010000","TRAMYO","8762020401","","S","","FORSTER","AFS-1991","","","Trachinocephalus myops","Snakefish","439",09-AUG-95,"BK",,""
"TRACHINOTUS CAROLINUS","FLORIDA POMPANO",579,"FLOPOMP","","","8835280901","","S","","(LINNAEUS)","AFS-1991","","","Trachinotus carolinus","Florida Pompano","579",09-AUG-95,"BK",,""
"TRACHINOTUS FALCATUS","PERMIT",580,"PERMIT","","","8835280902","","S","","(LINNAEUS)","AFS-1991","","","Trachinotus falcatus","Permit","580",09-AUG-95,"BK",,""
"TRACHINOTUS GOODEI","PALOMETA",581,"PALOM","","","8835280903","","S","","JORDAN AND EVERMANN","AFS-1991","","","Trachinotus goodei","Palometa","581",09-AUG-95,"BK",,""
"TRACHURUS LATHAMI","ROUGH SCAD",212,"ROUGHSC","823211414010000","TRALAT","8835280102","","S","","NICHOLS","AFS-1991","","|SV: SEE DUP CODE 122, USE 212","Trachurus lathami","Rough Scad","212",09-AUG-95,"BK",,""
"TRACHYSCORPIA CRISTULATA","ATLANTIC THORNYHEAD",885,"ATTHOR","","","8826011101","","S","","(GOODE AND BEAN)","AFS-1991","","","Trachyscorpia cristulata","Atlantic Thornyhead","885",09-AUG-95,"BK",,""
"TRAVISIA CARNEA","",,"","214080103010000","TRACAR","5001580404","","S","","","","","","","","",28-DEC-94,"RAR",,""
"TRAVISIA FORBESII","",,"","214080103020000","TRAFOR","NONE","","","","","","","NEEDS VERIFICATION, IF VALID ADD TO NODC LIST","","","",28-DEC-94,"RAR",,""
"TRAVISIA SP","",,"","214080103000000","TRAVSP","50015804","","G","","","","","","","","",28-DEC-94,"RAR",,""
"TREMATODA","FLUKE WORM UNCL",,"","072000000000000","TREMAT","3930","","C","","RUDOLPHI, 1808","","","","","","",28-DEC-94,"RAR",,""
"TRIAKIS SEMIFASCIATA","LEOPARD SHARK",936,"LEOPSH","","","8708020902","","S","","GIRARD, 1854","AFS-1991","","","Triakis semifasciata","Leopard Shark","936",09-AUG-95,"BK",,""
"TRICHIURIDAE","SNAKE MACKEREL UNCL",822,"SNAKMACU","","","885002","","F","","","AFS-1991","","|SV: FAMILY REVISIONS AFS-1990","Gempylidae sp","Snake Mackerel Uncl","822",01-JAN-99,"FPA",,""
"TRICHIURUS LEPTURUS","ATLANTIC CUTLASSFISH",126,"CUTLASS","","","8850020201","","S","","LINNAEUS","AFS-1991","","","Trichiurus lepturus","Atlantic Cutlassfish","126",09-AUG-95,"BK",,""
"TRICHOBRANCHIDAE","",,"","214170600000000","TRIFAM","500169","","F","","","","","","","","",28-DEC-94,"RAR",,""
"TRICHOBRANCHUS GLACIALIS","",,"","214170602010000","TRIGLA","5001690201","","S","","MALMGREN","","","","","","",28-DEC-94,"RAR",,""
"TRIDONTA BOREALIS","BOREAL TRIDONTA",,"","512080202010000","TRIBOR","5515190204","","S","","SCHUMACHER,1817","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"TRIGLIDAE","SEAROBIN UNCL",174,"ROBINU","823217800000000","TRIFA1","882602","","F","","","AFS-1991","","|SV: MINOR EDITS","Triglidae uncl","Searobin  Uncl","174",01-JAN-99,"FPA",,""
"TRIGLOPS MURRAYI","MOUSTACHE SCULPIN",161,"MOUSCUL","823212336030000","TRIMUR","8831023807","","S","","GUNTHER","AFS-1991","","","Triglops murrayi","Moustache Sculpin","161",09-AUG-95,"BK",,""
"TRINECTES MACULATUS","HOGCHOKER",118,"CHOKER","823230403020000","TRIMAC","8858010101","","S","","(BLOCH AND SCHNEIDER)","AFS-1991","","","Trinectes maculatus","Hogchoker","118",09-AUG-95,"BK",,""
"TROCHOCHAETA SP","",,"","214150901000000","TROCSP","50014502","","G","","","","","","","","",28-DEC-94,"RAR",,""
"TUBULARIA SP","",,"","051011303000000","TUBUSP","37030302","","G","","LINNAEUS,1758","AFS-1991","","","","","",28-DEC-94,"RAR",,""
